Representation,Feature,Fold,Coefficient
Global,vh_charge,0,2.925899072529913
Global,vl_glycine,0,2.0868019808590614
Global,vl_hydrophobic,0,1.4833264929818086
Global,vl_charge,0,1.419699647695407
Global,vl_polar,0,0.6774460616711756
Global,vh_proline,0,-0.9053190201986183
Global,vh_length,0,-1.1456989159853432
Global,vh_glycine,0,1.1934257440821978
Global,vh_aromatic,0,0.9075413617498651
Global,vh_polar,0,1.3644714164320928
Global,vl_aromatic,0,-0.6039186066534357
Global,vl_proline,0,0.24944046623416866
Global,vh_hydrophobic,0,0.16377472808838686
Global,vl_length,0,-0.27498508519065673
Global,vh_cysteine,0,-0.07108336658427308
Global,vh_charge,1,3.494145710691115
Global,vl_glycine,1,1.7337470537649842
Global,vl_hydrophobic,1,1.5209298175285972
Global,vl_charge,1,2.0238766462761415
Global,vl_polar,1,1.1007147703593907
Global,vh_proline,1,-1.1396742390985581
Global,vh_length,1,-1.1259796239702413
Global,vh_glycine,1,0.7502373886484535
Global,vh_aromatic,1,0.7002289865869843
Global,vh_polar,1,0.5028014535247384
Global,vl_aromatic,1,-0.6995001855255372
Global,vl_proline,1,0.6139392944881313
Global,vh_hydrophobic,1,-0.7794669258679969
Global,vl_length,1,-0.2076793101012698
Global,vh_cysteine,1,-0.07569733507640687
Global,vh_charge,2,3.645313370560643
Global,vl_glycine,2,2.2862002083039883
Global,vl_hydrophobic,2,2.4858989529933253
Global,vl_charge,2,1.6606271492760352
Global,vl_polar,2,2.475588016194758
Global,vh_proline,2,-1.36613909971804
Global,vh_length,2,-0.17869049163367018
Global,vh_glycine,2,0.4505162428045724
Global,vh_aromatic,2,0.16230267197316925
Global,vh_polar,2,0.5777327107451952
Global,vl_aromatic,2,-0.12820316740941587
Global,vl_proline,2,0.9117178226820337
Global,vh_hydrophobic,2,-0.2925948829803034
Global,vl_length,2,0.6035672135541649
Global,vh_cysteine,2,-0.3968824491912151
Global,vh_charge,3,3.5473764777831023
Global,vl_glycine,3,1.5947659315945193
Global,vl_hydrophobic,3,1.017867299668777
Global,vl_charge,3,1.7275970056177163
Global,vl_polar,3,0.6137701438219296
Global,vh_proline,3,-0.7833177182691772
Global,vh_length,3,-1.2892196232580524
Global,vh_glycine,3,0.512129259857439
Global,vh_aromatic,3,0.3994445953814226
Global,vh_polar,3,0.0990320522298982
Global,vl_aromatic,3,-0.5178821668545914
Global,vl_proline,3,-0.27267874886709526
Global,vh_hydrophobic,3,-0.746345322984841
Global,vl_length,3,-0.7069311991326799
Global,vh_cysteine,3,-0.3276681454460366
Global,vh_charge,4,3.4504328447051784
Global,vl_glycine,4,1.3126692734888878
Global,vl_hydrophobic,4,1.520917186490469
Global,vl_charge,4,0.7848354811062359
Global,vl_polar,4,1.2209188181165602
Global,vh_proline,4,-0.5818449897346765
Global,vh_length,4,-0.4433316739120419
Global,vh_glycine,4,0.3703489016896125
Global,vh_aromatic,4,0.3710744168342666
Global,vh_polar,4,0.017271647412749228
Global,vl_aromatic,4,-0.24075909468584844
Global,vl_proline,4,0.5506241660170563
Global,vh_hydrophobic,4,0.14511943827860943
Global,vl_length,4,-0.9044187205213389
Global,vh_cysteine,4,-0.43009874768999357
Region,vh_FR4_hydrophobic,0,-2.0990494149819816
Region,vh_FR4_polar,0,-1.841296349661894
Region,vl_FR1_length,0,2.1392382496120916
Region,vh_CDR3_charge,0,2.131480390292663
Region,vh_CDR2_charge,0,2.770904561144866
Region,vh_FR2_proline,0,-1.9297446671722847
Region,vl_CDR3_charge,0,2.9775507654875404
Region,vl_CDR1_charge,0,2.355502116643549
Region,vl_FR4_glycine,0,1.225665736065798
Region,vh_FR1_polar,0,-1.5515782015245119
Region,vl_FR1_proline,0,0.11859766688654816
Region,vh_FR3_charge,0,1.1183873249277558
Region,vh_FR4_glycine,0,1.2336642347251356
Region,vh_FR4_proline,0,-1.0282675392407314
Region,vl_FR1_glycine,0,1.0146601217480338
Region,vh_FR4_hydrophobic,1,0.03714258262633225
Region,vh_FR4_polar,1,-0.13050343217077176
Region,vl_FR1_length,1,3.487068026487857
Region,vh_CDR3_charge,1,1.777746227933702
Region,vh_CDR2_charge,1,2.095880901331165
Region,vh_FR2_proline,1,-3.230317316461515
Region,vl_CDR3_charge,1,1.7064884259411068
Region,vl_CDR1_charge,1,2.6207289799428604
Region,vl_FR4_glycine,1,3.7972981949094766
Region,vh_FR1_polar,1,1.6399440932963205
Region,vl_FR1_proline,1,2.632555938664176
Region,vh_FR3_charge,1,0.7137466564267158
Region,vh_FR4_glycine,1,1.5587915609451353
Region,vh_FR4_proline,1,-0.5578162048641391
Region,vl_FR1_glycine,1,-2.4434590600492156
Region,vh_FR4_hydrophobic,2,-3.6861940639947153
Region,vh_FR4_polar,2,-2.7814412523257097
Region,vl_FR1_length,2,-0.20752617648585164
Region,vh_CDR3_charge,2,2.9518651778007134
Region,vh_CDR2_charge,2,2.315746417155407
Region,vh_FR2_proline,2,-0.3895985079807521
Region,vl_CDR3_charge,2,1.2679648503101533
Region,vl_CDR1_charge,2,2.2822536440070715
Region,vl_FR4_glycine,2,0.9280512222479418
Region,vh_FR1_polar,2,-2.1793723377616976
Region,vl_FR1_proline,2,2.0352715138686315
Region,vh_FR3_charge,2,1.9932549904977188
Region,vh_FR4_glycine,2,1.783360632652063
Region,vh_FR4_proline,2,-1.6096451362068593
Region,vl_FR1_glycine,2,1.3301922705949492
Region,vh_FR4_hydrophobic,3,-2.391285886703363
Region,vh_FR4_polar,3,-1.2122941170095793
Region,vl_FR1_length,3,2.5663289392349213
Region,vh_CDR3_charge,3,2.9158328031914
Region,vh_CDR2_charge,3,1.5525043602083477
Region,vh_FR2_proline,3,-1.434531345310103
Region,vl_CDR3_charge,3,1.5911100771090885
Region,vl_CDR1_charge,3,2.5488381924900905
Region,vl_FR4_glycine,3,2.152132999014586
Region,vh_FR1_polar,3,-2.9826798397839114
Region,vl_FR1_proline,3,0.7539078930683135
Region,vh_FR3_charge,3,2.1291294230296844
Region,vh_FR4_glycine,3,0.0
Region,vh_FR4_proline,3,-0.37955225097932443
Region,vl_FR1_glycine,3,4.157105662159248
Region,vh_FR4_hydrophobic,4,-2.1855639386465535
Region,vh_FR4_polar,4,-2.0844089739657683
Region,vl_FR1_length,4,-0.6783933000455131
Region,vh_CDR3_charge,4,2.493307420485999
Region,vh_CDR2_charge,4,2.8288811242761884
Region,vh_FR2_proline,4,-3.3934008174159174
Region,vl_CDR3_charge,4,2.9294833991472777
Region,vl_CDR1_charge,4,0.4149861528014823
Region,vl_FR4_glycine,4,2.651242378189128
Region,vh_FR1_polar,4,-1.847013668009374
Region,vl_FR1_proline,4,0.2842859132551475
Region,vh_FR3_charge,4,1.7244222181737474
