antibody_id,vh_success,vl_success,vh_numbered_length,vl_numbered_length,vh_error,vl_error
GDPa1-001,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpdjyddcfz.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpgy4fb9xv.txt'
GDPa1-002,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp4k8mrkal.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpeujp_a3x.txt'
GDPa1-003,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpb3354yfx.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp6jexd7tj.txt'
GDPa1-004,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp4emibfai.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpkvff4x3n.txt'
GDPa1-005,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpr474skch.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpp87aifi1.txt'
GDPa1-006,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp2vs3lmxb.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpvl2v213d.txt'
GDPa1-007,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp8x7uw4tn.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp52uaupmr.txt'
GDPa1-008,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmprasqkmey.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp7zp0okpq.txt'
GDPa1-009,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpjici3bhy.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmp8s7igw12.txt'
GDPa1-010,False,False,0,0,[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpn0h1xs5u.txt',[WinError 32] The process cannot access the file because it is being used by another process: 'C:\\Users\\sjorg\\AppData\\Local\\Temp\\tmpz9547ag7.txt'
