Representation,Feature,Fold,Coefficient
Global,vh_hydrophobic,0,0.14613117309263493
Global,vl_glycine,0,0.107772348728373
Global,vh_polar,0,0.11198817404929128
Global,vh_charge,0,-0.08195077578400733
Global,vh_aromatic,0,0.0731798742759642
Global,vl_hydrophobic,0,0.031394664569952
Global,vl_aromatic,0,0.07712110769972332
Global,vl_charge,0,-0.0534772502249431
Global,vh_proline,0,0.04269542512692765
Global,vl_polar,0,0.037863640034805586
Global,vh_glycine,0,0.04478616028306486
Global,vl_proline,0,0.043609339573323906
Global,vh_length,0,0.05841280296798748
Global,vl_length,0,0.015747093579416043
Global,vl_cysteine,0,-0.03203187176438267
Global,vh_hydrophobic,1,0.15155452798572738
Global,vl_glycine,1,0.11378573280680346
Global,vh_polar,1,0.10647934594867356
Global,vh_charge,1,-0.08014012988364097
Global,vh_aromatic,1,0.07314975725561006
Global,vl_hydrophobic,1,0.07986339411290445
Global,vl_aromatic,1,0.04384268632979464
Global,vl_charge,1,-0.05890292154694573
Global,vh_proline,1,0.04892368324026914
Global,vl_polar,1,0.034051212441456626
Global,vh_glycine,1,0.027280722955157342
Global,vl_proline,1,0.02011716787305871
Global,vh_length,1,0.023408800041419753
Global,vl_length,1,0.040142375304914206
Global,vl_cysteine,1,0.032552351690871714
Global,vh_hydrophobic,2,0.12942526522465647
Global,vl_glycine,2,0.11708714277905079
Global,vh_polar,2,0.09895983265335674
Global,vh_charge,2,-0.07154361453525605
Global,vh_aromatic,2,0.06701669984133755
Global,vl_hydrophobic,2,0.07769359169674749
Global,vl_aromatic,2,0.05393480470033547
Global,vl_charge,2,-0.0491445774633193
Global,vh_proline,2,0.04635180807619795
Global,vl_polar,2,0.04908773618890946
Global,vh_glycine,2,0.04385498414001293
Global,vl_proline,2,0.04157526701625118
Global,vh_length,2,0.03193490738971363
Global,vl_length,2,0.01517875314400568
Global,vl_cysteine,2,0.026221540511040024
Global,vh_hydrophobic,3,0.12625232775511716
Global,vl_glycine,3,0.13128930318857704
Global,vh_polar,3,0.09905693300635898
Global,vh_charge,3,-0.03946840020013378
Global,vh_aromatic,3,0.05884620937575664
Global,vl_hydrophobic,3,0.04949504605911503
Global,vl_aromatic,3,0.07539128706463441
Global,vl_charge,3,-0.05282513472969179
Global,vh_proline,3,0.05951222384521047
Global,vl_polar,3,0.058454650534581966
Global,vh_glycine,3,0.02771108855126185
Global,vl_proline,3,0.05800107854188204
Global,vh_length,3,0.03895245138913752
Global,vl_length,3,0.03588451586743417
Global,vl_cysteine,3,0.04575229167555324
Global,vh_hydrophobic,4,0.10353208988052717
Global,vl_glycine,4,0.037872370903850115
Global,vh_polar,4,0.08859136612334044
Global,vh_charge,4,-0.07659306637567541
Global,vh_aromatic,4,0.07388459181869857
Global,vl_hydrophobic,4,0.0783348007391572
Global,vl_aromatic,4,0.0340374497734081
Global,vl_charge,4,-0.044081802674076735
Global,vh_proline,4,0.06193645670343473
Global,vl_polar,4,0.031667237730115705
Global,vh_glycine,4,0.05420989458897402
Global,vl_proline,4,0.03300098573249535
Global,vh_length,4,0.025392171923627152
Global,vl_length,4,0.007437261481433145
Global,vl_cysteine,4,0.04115376354743651
Region,vh_CDR2_hydrophobic,0,0.1916229038286147
Region,vl_CDR3_aromatic,0,0.1552054999274375
Region,vl_FR1_length,0,-0.04427387070298342
Region,vh_CDR2_aromatic,0,0.10782550791342406
Region,vh_FR1_glycine,0,0.12188545703106392
Region,vl_FR3_aromatic,0,0.04776677204473744
Region,vh_FR4_charge,0,-0.12557547991767729
Region,vh_CDR1_hydrophobic,0,0.09131072237001939
Region,vl_FR3_glycine,0,0.06219126037210422
Region,vh_CDR3_hydrophobic,0,0.10337469648453632
Region,vh_CDR3_aromatic,0,0.07631675712626795
Region,vh_CDR3_charge,0,-0.08855372715231467
Region,vh_FR3_hydrophobic,0,0.06700081067033165
Region,vl_FR1_proline,0,0.06154317049711772
Region,vl_CDR2_glycine,0,0.057145471054560915
Region,vh_CDR2_hydrophobic,1,0.15123085349702384
Region,vl_CDR3_aromatic,1,0.13416917386393842
Region,vl_FR1_length,1,-0.1319666966106358
Region,vh_CDR2_aromatic,1,0.08519238515052363
Region,vh_FR1_glycine,1,-0.03406322617575775
Region,vl_FR3_aromatic,1,0.09181960850146359
Region,vh_FR4_charge,1,-0.06872138789385367
Region,vh_CDR1_hydrophobic,1,0.09605881257819855
Region,vl_FR3_glycine,1,0.08432831014584478
Region,vh_CDR3_hydrophobic,1,0.08880133539320101
Region,vh_CDR3_aromatic,1,0.0645041514690716
Region,vh_CDR3_charge,1,-0.084519211754336
Region,vh_FR3_hydrophobic,1,0.09233318684125892
Region,vl_FR1_proline,1,0.07798132304454963
Region,vl_CDR2_glycine,1,0.06562279248204005
Region,vh_CDR2_hydrophobic,2,0.20020499053987284
Region,vl_CDR3_aromatic,2,0.17221908029288732
Region,vl_FR1_length,2,-0.09769491535660553
Region,vh_CDR2_aromatic,2,0.09861983337000599
Region,vh_FR1_glycine,2,0.1360609127042986
Region,vl_FR3_aromatic,2,0.0878294193045729
Region,vh_FR4_charge,2,-0.07623392831262214
