Target,Representation,Model,Fold,N_train,N_test,Spearman,RMSE
AC_SINS,Embeddings,ElasticNet,0,189,53,0.4051417075430566,8.710365109161732
AC_SINS,Embeddings,ElasticNet,1,194,48,0.2901860530175214,8.80003016535211
AC_SINS,Embeddings,ElasticNet,2,194,48,0.2638210446594987,10.741122371670297
AC_SINS,Embeddings,ElasticNet,3,198,44,0.4455745488282695,8.974906182135369
AC_SINS,Embeddings,ElasticNet,4,193,49,0.4000410553543473,10.51643967695416
AC_SINS,Global,ElasticNet,0,189,53,0.5592774155300111,6.814759370074249
AC_SINS,Global,ElasticNet,1,194,48,0.13665278748903292,6.836148806448101
AC_SINS,Global,ElasticNet,2,194,48,0.35299234052835354,9.798606274201045
AC_SINS,Global,ElasticNet,3,198,44,0.40632558666912544,8.583403491690435
AC_SINS,Global,ElasticNet,4,193,49,0.5097420877686378,9.253140473694346
AC_SINS,Region,ElasticNet,0,189,53,0.49906184004480864,8.614915722792139
AC_SINS,Region,ElasticNet,1,194,48,0.07671209163972253,10.440143410856965
AC_SINS,Region,ElasticNet,2,194,48,0.2049527835621548,10.729329587228591
AC_SINS,Region,ElasticNet,3,198,44,0.3383458194762193,9.929824276198964
AC_SINS,Region,ElasticNet,4,193,49,0.3884478829344013,10.573027865212394
AC_SINS,Structure,ElasticNet,0,189,53,0.45569854306788105,7.188371406190562
AC_SINS,Structure,ElasticNet,1,194,48,0.21166835966978315,6.536399092722679
AC_SINS,Structure,ElasticNet,2,194,48,0.19593790225019994,9.717013689485889
AC_SINS,Structure,ElasticNet,3,198,44,0.12113528608829383,9.125552932490168
AC_SINS,Structure,ElasticNet,4,193,49,0.5505990830812229,9.619186281517333
AC_SINS,Embeddings,Ridge,0,189,53,0.32512369448218364,10.210190206107397
AC_SINS,Embeddings,Ridge,1,194,48,0.09438341598474217,12.025738577093088
AC_SINS,Embeddings,Ridge,2,194,48,0.13337679820579018,12.916013362990832
AC_SINS,Embeddings,Ridge,3,198,44,0.3975722210077336,12.189981855150458
AC_SINS,Embeddings,Ridge,4,193,49,0.3183270647291774,12.833735177060586
AC_SINS,Global,Ridge,0,189,53,0.5550744491874199,6.890658766109195
AC_SINS,Global,Ridge,1,194,48,0.15514222870187755,6.91536662102912
