Endpoint,Representation,Feature,Coefficient,CV mean,CV SD,CV min,CV max,Same sign (n/5),Sign consistency (%)
HIC,Global,vh_hydrophobic,0.131,0.131,0.019,0.104,0.152,5,100%
HIC,Global,vl_glycine,0.106,0.102,0.037,0.038,0.131,5,100%
HIC,Global,vh_polar,0.101,0.101,0.009,0.089,0.112,5,100%
HIC,Global,vh_charge,-0.071,-0.07,0.017,-0.082,-0.039,5,100%
HIC,Global,vh_aromatic,0.07,0.069,0.006,0.059,0.074,5,100%
HIC,Global,vl_hydrophobic,0.068,0.063,0.022,0.031,0.08,5,100%
HIC,Global,vl_aromatic,0.055,0.057,0.019,0.034,0.077,5,100%
HIC,Global,vl_charge,-0.053,-0.052,0.005,-0.059,-0.044,5,100%
HIC,Global,vh_proline,0.052,0.052,0.008,0.043,0.062,5,100%
HIC,Global,vl_polar,0.047,0.042,0.011,0.032,0.058,5,100%
HIC,Global,vh_glycine,0.042,0.04,0.012,0.027,0.054,5,100%
HIC,Global,vl_proline,0.039,0.039,0.014,0.02,0.058,5,100%
HIC,Global,vh_length,0.035,0.036,0.014,0.023,0.058,5,100%
HIC,Global,vl_length,0.026,0.023,0.014,0.007,0.04,5,100%
HIC,Global,vl_cysteine,0.024,0.023,0.032,-0.032,0.046,4,80%
HIC,Region,vh_CDR2_hydrophobic,0.148,0.15,0.047,0.094,0.2,5,100%
HIC,Region,vl_CDR3_aromatic,0.13,0.134,0.044,0.059,0.172,5,100%
HIC,Region,vl_FR1_length,-0.098,-0.088,0.054,-0.143,-0.021,5,100%
HIC,Region,vh_CDR2_aromatic,0.089,0.093,0.01,0.085,0.108,5,100%
HIC,Region,vh_FR1_glycine,0.089,0.076,0.068,-0.034,0.136,4,80%
HIC,Region,vl_FR3_aromatic,0.089,0.082,0.025,0.048,0.114,5,100%
HIC,Region,vh_FR4_charge,-0.088,-0.083,0.028,-0.126,-0.051,5,100%
HIC,Region,vh_CDR1_hydrophobic,0.086,0.091,0.017,0.076,0.116,5,100%
HIC,Region,vl_FR3_glycine,0.082,0.088,0.027,0.062,0.134,5,100%
HIC,Region,vh_CDR3_hydrophobic,0.08,0.086,0.019,0.056,0.103,5,100%
HIC,Region,vh_CDR3_aromatic,0.08,0.072,0.013,0.054,0.086,5,100%
HIC,Region,vh_CDR3_charge,-0.077,-0.078,0.016,-0.089,-0.05,5,100%
HIC,Region,vh_FR3_hydrophobic,0.072,0.08,0.011,0.067,0.092,5,100%
HIC,Region,vl_FR1_proline,0.071,0.073,0.04,0.011,0.113,5,100%
HIC,Region,vl_CDR2_glycine,0.066,0.062,0.004,0.057,0.066,5,100%
HIC,Structure,surface_hydrophobicity,0.133,0.133,0.022,0.107,0.164,5,100%
HIC,Structure,surface_aromaticity,0.059,0.06,0.01,0.049,0.072,5,100%
